date,open,high,low,close,volume,market_cap
2020-12-15,"19,246.92","19,525.01","19,079.84","19,417.08","26,741,982,541","360,614,771,027"
2020-12-14,"19,144.49","19,305.10","19,012.71","19,246.64","22,473,997,681","357,432,550,020"
2020-12-13,"18,806.77","19,381.54","18,734.33","19,142.38","25,450,468,637","355,479,173,806"
2020-12-12,"18,051.32","18,919.55","18,046.04","18,803.66","21,752,580,802","349,170,613,899"
2020-12-11,"18,263.93","18,268.45","17,619.53","18,058.90","27,919,640,985","335,326,168,919"
2020-12-10,"18,553.30","18,553.30","17,957.07","18,264.99","25,547,132,265","339,136,939,586"
2020-12-09,"18,320.88","18,626.29","17,935.55","18,553.92","34,420,373,071","344,486,483,494"
2020-12-08,"19,191.53","19,283.48","18,269.95","18,321.14","31,692,288,756","340,148,764,252"
2020-12-07,"19,343.13","19,411.83","18,931.14","19,191.63","26,896,357,742","356,293,229,783"
2020-12-06,"19,154.18","19,390.50","18,897.89","19,345.12","25,293,775,714","359,123,541,247"
2020-12-05,"18,698.39","19,160.45","18,590.19","19,154.23","27,242,455,064","355,563,938,256"
2020-12-04,"19,446.97","19,511.40","18,697.19","18,699.77","33,872,388,058","347,111,351,136"
2020-12-03,"19,205.93","19,566.19","18,925.78","19,445.40","31,930,317,405","360,933,936,017"
2020-12-02,"18,801.74","19,308.33","18,347.72","19,201.09","37,387,697,139","356,381,007,571"
2020-12-01,"19,633.77","19,845.98","18,321.92","18,803.00","49,633,658,712","348,976,597,318"
2020-11-30,"18,178.32","19,749.26","18,178.32","19,625.84","47,728,480,399","364,229,729,426"
2020-11-29,"17,719.63","18,283.63","17,559.12","18,177.48","31,133,957,704","337,336,592,123"
2020-11-28,"17,112.93","17,853.94","16,910.65","17,717.42","32,601,040,734","328,782,832,212"
2020-11-27,"17,153.91","17,445.02","16,526.42","17,108.40","38,886,494,645","317,464,460,530"
2020-11-26,"18,729.84","18,866.29","16,351.03","17,150.62","61,396,835,737","318,231,964,319"
2020-11-25,"19,104.41","19,390.97","18,581.15","18,732.12","43,710,357,371","347,558,803,507"
2020-11-24,"18,365.01","19,348.27","18,128.66","19,107.46","51,469,565,009","354,504,361,032"
2020-11-23,"18,370.02","18,711.43","18,000.80","18,364.12","42,741,112,308","340,698,070,308"
2020-11-22,"18,642.23","18,688.97","17,671.38","18,370.00","41,280,434,226","340,790,183,317"
2020-11-21,"18,621.32","18,936.62","18,444.36","18,642.23","39,650,210,707","345,819,234,185"
2020-11-20,"17,817.08","18,773.23","17,765.80","18,621.31","36,992,873,940","345,411,881,099"
2020-11-19,"17,803.86","18,119.55","17,382.55","17,817.09","36,985,055,355","330,475,167,134"
2020-11-18,"17,645.19","18,393.95","17,352.91","17,804.01","49,064,800,278","330,218,014,062"
2020-11-17,"16,685.69","17,782.92","16,564.54","17,645.41","39,006,849,170","327,257,094,857"
2020-11-16,"15,955.58","16,816.18","15,880.71","16,716.11","31,526,766,675","309,889,423,249"
2020-11-15,"16,068.14","16,123.11","15,793.53","15,955.59","23,653,867,583","295,790,551,598"
2020-11-14,"16,317.81","16,317.81","15,749.19","16,068.14","27,481,710,135","297,877,068,423"
2020-11-13,"16,276.44","16,463.18","15,992.15","16,317.81","31,599,492,172","302,505,533,181"
2020-11-12,"15,701.30","16,305.00","15,534.77","16,276.34","34,175,758,344","301,736,853,825"
2020-11-11,"15,290.91","15,916.26","15,290.01","15,701.34","29,772,374,934","291,077,214,052"
2020-11-10,"15,332.35","15,450.33","15,124.96","15,290.90","25,574,938,143","283,468,380,961"
2020-11-09,"15,479.60","15,785.14","14,865.53","15,332.32","34,149,115,566","284,236,108,837"
2020-11-08,"14,833.75","15,637.32","14,744.11","15,479.57","26,632,075,029","286,955,182,899"
2020-11-07,"15,565.88","15,737.10","14,423.20","14,833.75","35,024,953,706","274,970,333,140"
2020-11-06,"15,579.73","15,903.44","15,226.84","15,565.88","39,837,841,971","288,526,920,959"
2020-11-05,"14,133.73","15,706.40","14,102.09","15,579.85","40,856,321,439","288,771,509,681"
2020-11-04,"13,950.49","14,218.77","13,580.47","14,133.71","35,116,364,962","261,954,213,176"
2020-11-03,"13,550.45","13,984.98","13,325.44","13,950.30","29,869,951,617","258,541,441,764"
2020-11-02,"13,737.03","13,808.32","13,243.16","13,550.49","30,771,455,468","251,119,864,445"
2020-11-01,"13,780.99","13,862.03","13,628.38","13,737.11","24,453,857,900","254,569,759,063"
2020-10-31,"13,546.53","14,028.21","13,457.53","13,780.99","30,306,464,719","255,372,071,116"
2020-10-30,"13,437.87","13,651.52","13,136.20","13,546.52","30,581,485,201","251,018,154,920"
2020-10-29,"13,271.30","13,612.05","12,980.06","13,437.88","56,499,499,598","248,995,322,466"
2020-10-28,"13,654.21","13,837.70","12,932.25","13,271.29","35,867,318,895","245,899,824,465"
2020-10-27,"13,075.24","13,759.67","13,060.84","13,654.22","33,749,878,156","252,985,946,390"
2020-10-26,"13,031.20","13,225.30","12,822.38","13,075.25","29,461,458,313","242,250,997,936"
2020-10-25,"13,108.06","13,329.18","12,910.06","13,031.17","24,406,920,575","241,425,217,440"
2020-10-24,"12,931.57","13,145.07","12,885.75","13,108.06","24,542,317,940","242,839,876,186"
2020-10-23,"12,971.55","13,015.96","12,752.65","12,931.54","28,974,975,003","239,557,562,148"
2020-10-22,"12,801.64","13,161.59","12,717.09","12,965.89","34,729,759,598","240,166,387,522"
2020-10-21,"11,913.08","13,184.57","11,900.93","12,823.69","43,414,712,626","237,532,386,963"
2020-10-20,"11,745.97","11,999.92","11,681.48","11,916.34","30,915,821,592","220,721,282,865"
2020-10-19,"11,495.04","11,799.09","11,408.29","11,742.04","23,860,769,928","217,482,407,293"
2020-10-18,"11,355.98","11,483.36","11,347.58","11,483.36","18,283,314,340","212,682,581,771"
2020-10-17,"11,322.12","11,386.26","11,285.35","11,358.10","19,130,430,174","210,353,665,235"
2020-10-16,"11,502.83","11,540.06","11,223.01","11,322.12","25,635,480,772","209,676,088,344"
2020-10-15,"11,426.60","11,569.91","11,303.60","11,495.35","24,487,233,058","212,873,103,428"
2020-10-14,"11,429.05","11,539.98","11,307.83","11,429.51","24,103,426,719","211,643,390,713"
2020-10-13,"11,548.72","11,548.98","11,321.22","11,425.90","24,241,420,251","211,565,586,739"
2020-10-12,"11,392.64","11,698.47","11,240.69","11,555.36","26,163,972,642","213,950,143,824"
2020-10-11,"11,296.08","11,428.81","11,288.63","11,384.18","19,968,627,060","210,766,812,992"
2020-10-10,"11,059.14","11,442.21","11,056.94","11,296.36","22,877,978,588","209,130,239,495"
2020-10-09,"10,927.91","11,102.67","10,846.85","11,064.46","22,799,117,613","204,827,451,843"
2020-10-08,"10,669.37","10,945.74","10,562.61","10,915.69","63,314,794,397","202,064,144,550"
2020-10-07,"10,603.36","10,680.51","10,562.51","10,668.97","37,799,458,436","197,485,816,055"
2020-10-06,"10,796.31","10,797.58","10,528.89","10,604.41","42,623,695,307","196,281,911,458"
2020-10-05,"10,676.53","10,793.51","10,634.60","10,793.34","47,537,578,009","199,769,602,128"
2020-10-04,"10,550.44","10,686.00","10,534.39","10,669.58","71,251,776,995","197,468,899,357"
2020-10-03,"10,575.10","10,598.94","10,511.13","10,549.33","44,660,271,563","195,233,191,301"
2020-10-02,"10,619.82","10,657.84","10,416.69","10,575.98","48,661,453,918","195,716,085,732"
2020-10-01,"10,795.25","10,933.62","10,472.36","10,619.45","40,023,134,100","196,512,086,756"
2020-09-30,"10,843.87","10,847.26","10,669.32","10,784.49","44,171,073,700","199,556,965,504"
2020-09-29,"10,709.65","10,860.00","10,649.50","10,844.64","46,582,396,602","200,660,083,839"
2020-09-28,"10,776.61","10,945.35","10,703.89","10,709.65","47,762,394,731","198,154,065,044"
2020-09-27,"10,746.89","10,803.98","10,622.92","10,775.27","53,745,972,818","199,357,967,523"
2020-09-26,"10,695.58","10,773.00","10,667.28","10,750.72","46,852,525,493","198,893,019,774"
2020-09-25,"10,761.11","10,777.70","10,578.91","10,692.72","39,348,590,957","197,809,986,226"
2020-09-24,"10,248.79","10,771.06","10,231.49","10,760.07","47,144,380,902","199,045,623,654"
2020-09-23,"10,535.49","10,537.83","10,197.86","10,246.19","23,788,661,867","189,529,920,746"
2020-09-22,"10,459.62","10,568.08","10,382.73","10,538.46","23,621,787,804","194,932,197,947"
2020-09-21,"10,934.93","10,988.30","10,380.26","10,462.26","28,884,999,244","193,514,327,128"
2020-09-20,"11,095.87","11,095.87","10,814.48","10,938.27","24,699,523,788","202,308,927,892"
2020-09-19,"10,933.75","11,134.09","10,909.62","11,094.35","22,764,204,008","205,185,696,336"
2020-09-18,"10,951.82","11,034.91","10,829.66","10,944.59","26,341,903,912","202,405,809,881"
2020-09-17,"10,973.25","11,037.42","10,774.63","10,948.99","38,151,810,523","202,475,761,712"
2020-09-16,"10,797.76","11,100.12","10,704.88","10,974.90","30,769,986,455","202,942,925,722"
2020-09-15,"10,677.75","10,938.63","10,656.46","10,796.95","32,509,451,925","199,641,896,762"
2020-09-14,"10,328.73","10,800.01","10,266.01","10,680.84","35,453,581,940","197,484,272,947"
2020-09-13,"10,452.40","10,577.22","10,224.33","10,323.76","36,506,852,789","190,870,759,062"
2020-09-12,"10,409.86","10,578.84","10,292.39","10,442.17","36,750,077,324","193,049,493,277"
2020-09-11,"10,369.03","10,434.92","10,140.84","10,400.91","45,201,121,775","192,275,791,669"
2020-09-10,"10,242.33","10,503.91","10,238.14","10,363.14","54,406,443,211","191,568,387,062"
2020-09-09,"10,134.15","10,350.54","10,017.25","10,242.35","24,128,292,755","189,325,507,175"
2020-09-08,"10,369.31","10,414.78","9,945.11","10,131.52","33,430,927,462","187,267,336,728"
2020-09-07,"10,281.00","10,399.15","9,916.49","10,369.56","33,703,098,409","191,657,203,885"
2020-09-06,"10,167.22","10,353.93","10,056.89","10,280.35","37,071,460,174","189,997,214,393"
2020-09-05,"10,512.53","10,581.57","9,946.68","10,169.57","44,916,565,292","187,940,141,276"
2020-09-04,"10,230.37","10,663.92","10,207.94","10,511.81","29,965,130,374","194,255,818,704"
2020-09-03,"11,407.19","11,443.02","10,182.47","10,245.30","31,927,261,555","189,322,069,063"
2020-09-02,"11,964.82","11,964.82","11,290.79","11,414.03","28,037,405,299","210,909,793,681"
2020-09-01,"11,679.32","12,067.08","11,601.13","11,970.48","27,311,555,343","221,181,001,607"
2020-08-31,"11,713.31","11,768.88","11,598.32","11,680.82","22,285,928,250","215,817,677,822"
2020-08-30,"11,508.71","11,715.26","11,492.38","11,711.51","19,760,127,945","216,373,660,045"
2020-08-29,"11,541.05","11,585.64","11,466.29","11,506.87","17,485,597,759","212,583,870,983"
2020-08-28,"11,325.30","11,545.62","11,316.42","11,542.50","19,807,127,588","213,231,661,583"
2020-08-27,"11,485.61","11,570.79","11,185.94","11,323.40","23,240,415,076","209,172,436,817"
2020-08-26,"11,366.89","11,530.05","11,296.99","11,488.36","22,466,660,958","212,210,534,428"
2020-08-25,"11,773.59","11,778.30","11,189.85","11,366.14","26,301,509,932","209,942,744,481"
2020-08-24,"11,663.69","11,807.63","11,623.25","11,774.60","20,681,511,755","217,477,962,650"
2020-08-23,"11,679.70","11,713.43","11,559.92","11,664.85","18,482,062,658","215,439,967,321"
2020-08-22,"11,585.48","11,689.41","11,448.81","11,681.83","20,224,191,306","215,742,068,895"
2020-08-21,"11,878.03","11,899.26","11,564.98","11,592.49","23,762,425,999","214,082,401,861"
2020-08-20,"11,761.50","11,900.41","11,710.06","11,878.37","20,175,242,945","219,350,310,326"
2020-08-19,"11,990.88","12,028.92","11,687.33","11,758.28","24,502,851,117","217,122,068,305"
2020-08-18,"12,251.90","12,335.71","11,954.53","11,991.23","26,043,227,672","221,413,097,553"
2020-08-17,"11,895.66","12,359.06","11,806.70","12,254.40","28,227,687,027","226,261,747,567"
2020-08-16,"11,866.69","11,934.90","11,737.19","11,892.80","20,583,375,490","219,576,092,170"
2020-08-15,"11,768.70","11,963.20","11,768.70","11,865.70","23,354,924,400","219,064,372,745"
2020-08-14,"11,772.66","12,150.99","11,685.46","11,768.87","24,237,958,589","217,265,120,503"
2020-08-13,"11,588.41","11,796.40","11,216.87","11,784.14","27,522,199,497","217,534,728,413"
2020-08-12,"11,404.60","11,748.40","11,249.61","11,584.93","25,064,548,486","213,846,666,475"
2020-08-11,"11,881.65","11,932.71","11,195.71","11,410.53","27,039,782,640","210,616,121,945"
2020-08-10,"11,662.26","12,045.14","11,662.26","11,878.11","26,114,112,569","219,235,405,395"
2020-08-09,"11,737.33","11,806.06","11,548.78","11,675.74","17,489,608,833","215,490,364,255"
2020-08-08,"11,604.55","11,800.06","11,558.43","11,754.05","17,572,057,837","216,924,147,851"
2020-08-07,"11,778.89","11,898.04","11,408.59","11,601.47","23,132,312,867","214,097,928,027"
2020-08-06,"11,749.87","11,902.34","11,598.71","11,779.77","23,400,740,340","217,377,233,001"
2020-08-05,"11,203.82","11,786.62","11,158.29","11,747.02","24,411,254,471","216,761,492,406"
